Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
Agricultural Production by Type: Ecological Study for the Twin-Cities Metropolitan Area,Agricultural Production by Type: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Agricultural Production by Type prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:56,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/56/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/56,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/56/manifest.json,,p16022coll289:56,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Annual Precipitation: Ecological Study for the Twin-Cities Metropolitan Area,Annual Precipitation: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Annual Precipitation prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:46,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/46/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/46,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/46/manifest.json,,p16022coll289:46,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Aquifer Recharge Zones: Ecological Study for the Twin-Cities Metropolitan Area,Aquifer Recharge Zones: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Aquifer Recharge Zones prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:50,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/50/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/50,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/50/manifest.json,,p16022coll289:50,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Average Annual Precipitation: Ecological Study for the Twin-Cities Metropolitan Area,Average Annual Precipitation: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Average Annual Precipitation prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:51,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/51/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/51,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/51/manifest.json,,p16022coll289:51,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Average Number of Frost-Free Days: Ecological Study for the Twin-Cities Metropolitan Area,Average Number of Frost-Free Days: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Average Number of Frost-Free Days prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:71,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/71/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/71,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/71/manifest.json,,p16022coll289:71,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Bedrock Geology: Ecological Study for the Twin-Cities Metropolitan Area,Bedrock Geology: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Bedrock Geology prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Geological Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:39,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/39/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/39,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/39/manifest.json,,p16022coll289:39,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Chart I - Contract: Ecological Study for the Twin-Cities Metropolitan Area,Chart I - Contract: Ecological Study for the Twin-Cities Metropolitan Area,"Chart of Chart I - Contract prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000 (Chart)",,,"1:250,000 (Chart)",,,"Wallace, McHarg, Roberts and Todd",,,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:78,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/78/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/78,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/78/manifest.json,,p16022coll289:78,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Chart III - Natural Process: Ecological Study for the Twin-Cities Metropolitan Area,Chart III - Natural Process: Ecological Study for the Twin-Cities Metropolitan Area,"Chart of Chart III - Natural Process prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000 (Chart)",,,"1:250,000 (Chart)",,,"Wallace, McHarg, Roberts and Todd",,,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:62,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/62/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/62,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/62/manifest.json,,p16022coll289:62,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Chart II - Work Performance: Ecological Study for the Twin-Cities Metropolitan Area,Chart II - Work Performance: Ecological Study for the Twin-Cities Metropolitan Area,"Chart of Chart II - Work Performance prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000 (Chart)",,,"1:250,000 (Chart)",,,"Wallace, McHarg, Roberts and Todd",,,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:63,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/63/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/63,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/63/manifest.json,,p16022coll289:63,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
Climate Data - Fall: Ecological Study for the Twin-Cities Metropolitan Area,Climate Data - Fall: Ecological Study for the Twin-Cities Metropolitan Area,"Map of Climate Data - Fall prepared for the Metropolitan Council as a part of An Ecological Study for the Twin-Cities Metropolitan Area. Scale 1:250,000","Bounding Box (W,S,E,N): -93.9791,44.4981,-92.8021,45.361",,"1:250,000",English,,"Wallace, McHarg, Roberts and Todd",,Thematic Maps,1968,,,https://umedia.lib.umn.edu/item/p16022coll289:52,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll289/id/52/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll289/id/52,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll289/52/manifest.json,,p16022coll289:52,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-26,"U|s|e| |o|f| |t|h|i|s| |i|t|e|m| |m|a|y| |b|e| |g|o|v|e|r|n|e|d| |b|y| |U|S| |a|n|d| |i|n|t|e|r|n|a|t|i|o|n|a|l| |c|o|p|y|r|i|g|h|t| |l|a|w|s|.| |Y|o|u| |m|a|y| |b|e| |a|b|l|e| |t|o| |u|s|e| |t|h|i|s| |i|t|e|m|,| |b|u|t| |c|o|p|y|r|i|g|h|t| |a|n|d| |o|t|h|e|r| |c|o|n|s|i|d|e|r|a|t|i|o|n|s| |m|a|y| |a|p|p|l|y|.| |F|o|r| |p|o|s|s|i|b|l|e| |a|d|d|i|t|i|o|n|a|l| |i|n|f|o|r|m|a|t|i|o|n| |o|r| |g|u|i|d|a|n|c|e| |o|n| |y|o|u|r| |u|s|e|,| |p|l|e|a|s|e| |c|o|n|t|a|c|t| |t|h|e| |c|o|n|t|r|i|b|u|t|i|n|g| |o|r|g|a|n|i|z|a|t|i|o|n|.",Maps,JPEG,2019-04-30T00:00:00Z,Ecological Study for the Twin Cities Metropolitan Area,p16022coll289,Minneapolis; St. Paul; Bloomington,Minnesota,United States,North America,Hennepin County; Ramsey County; Minneapolis-St.Paul-Bloomington,
